Date,Store_ID,Region,Category,Seasonality,Promotion,Weather_Condition,total_sales,total_units,avg_inventory,avg_demand,avg_discount,Month,Year
01-01-2022,S001,North,Electronics,Winter,0,Snowy,12947.97,189,192.6667,76,6.666666667,1,2022
01-01-2022,S001,North,Clothing,Winter,1,Snowy,24843.48,319,159.6667,171.6667,10,1,2022
01-01-2022,S001,North,Groceries,Winter,1,Snowy,32608.15,544,199.1667,100.5,5.333333333,1,2022
01-01-2022,S001,North,Toys,Winter,0,Snowy,7914.94,287,183.75,76,3,1,2022
01-01-2022,S001,North,Furniture,Winter,0,Snowy,25353.92,218,238.5,58.5,6.5,1,2022
01-01-2022,S002,South,Groceries,Winter,1,Cloudy,52686.07,735,156.3333,141.6667,6.833333333,1,2022
01-01-2022,S002,South,Toys,Winter,1,Cloudy,4416,191,173,85,15,1,2022
01-01-2022,S002,South,Electronics,Winter,1,Cloudy,22575.55,250,168.3333,93,4,1,2022
01-01-2022,S002,South,Clothing,Winter,0,Cloudy,21363.92,264,134.3333,123,5.333333333,1,2022
01-01-2022,S002,South,Furniture,Winter,0,Cloudy,5409.4,43,126,53,1,1,2022
01-01-2022,S003,East,Toys,Winter,0,Sunny,6568.49,215,204.5,124,5.5,1,2022
01-01-2022,S003,East,Groceries,Winter,1,Sunny,46450.45,839,208.4444,121.1111,8.555555556,1,2022
01-01-2022,S003,East,Electronics,Winter,1,Sunny,38267.66,359,191,127.6667,13.33333333,1,2022
01-01-2022,S003,East,Clothing,Winter,0,Sunny,9591.82,102,273.5,75,3,1,2022
01-01-2022,S003,East,Furniture,Winter,0,Sunny,13701.72,114,207.5,77.5,3,1,2022
01-01-2022,S004,West,Groceries,Winter,1,Snowy,12013.55,408,219,96,2.8,1,2022
01-01-2022,S004,West,Furniture,Winter,1,Snowy,53343.28,435,201.5714,74.5714,9.428571429,1,2022
01-01-2022,S004,West,Clothing,Winter,0,Snowy,41909.58,493,218.25,119.25,8.75,1,2022
01-01-2022,S004,West,Electronics,Winter,0,Snowy,13114.65,111,111,103,1,1,2022
01-01-2022,S005,North,Groceries,Winter,0,Snowy,40485.81,841,202.5,114.375,4.25,1,2022
01-01-2022,S005,North,Electronics,Winter,1,Snowy,7433.12,148,175.5,100.5,5.5,1,2022
01-01-2022,S005,North,Toys,Winter,1,Snowy,11429.91,372,167,102.75,10.25,1,2022
01-01-2022,S005,North,Furniture,Winter,0,Snowy,14508.36,113,216,65.5,7.5,1,2022
01-01-2022,S005,North,Clothing,Winter,0,Snowy,1523.88,68,245,88,1,1,2022
02-01-2022,S001,North,Electronics,Winter,0,Snowy,13557.27,190,129.6667,73.3333,6.666666667,1,2022
02-01-2022,S001,North,Clothing,Winter,0,Snowy,29631.47,379,182.6667,152.3333,7,1,2022
